Log for Debugging - 04/02/2019
[10:38:32] - Close System Update.
[10:39:23] - Close System Update.
[14:02:35] - Close System Update.
[14:04:34] - Close System Update.
[14:12:06] - Close System Update.
[14:13:01] - Close System Update.
[14:13:42] - Close System Update.
[18:17:28] - Close System Update.
